Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
Liverpool,19,14,2,3,33,17,16,44,2.32,31.2,21.6,9.5,0.5
Manchester City,19,11,1,7,45,22,23,34,1.79,45.5,19.5,26,1.37
Manchester Utd,19,8,5,6,26,19,7,29,1.53,28.4,21.1,7.4,0.39
Chelsea,19,9,3,7,39,38,1,30,1.58,29.2,27.2,2,0.1
Leicester City,19,7,4,8,32,24,8,25,1.32,31,22.7,8.3,0.44
Tottenham,19,4,8,7,25,30,-5,20,1.05,21.6,28.7,-7.1,-0.37
Wolves,19,7,7,5,24,21,3,28,1.47,21.2,18.3,2.9,0.15
Arsenal,19,4,8,7,20,24,-4,20,1.05,22,25.8,-3.8,-0.2
Sheffield Utd,19,4,9,6,15,24,-9,21,1.11,15.3,28.2,-12.9,-0.68
Burnley,19,7,5,7,19,27,-8,26,1.37,16.6,27.1,-10.4,-0.55
Southampton,19,9,4,6,30,25,5,31,1.63,30.8,24.9,5.9,0.31
Everton,19,5,3,11,20,35,-15,18,0.95,21.8,24.9,-3.1,-0.16
Newcastle Utd,19,5,3,11,18,37,-19,18,0.95,15,30.3,-15.3,-0.81
Crystal Palace,19,5,5,9,16,30,-14,20,1.05,16.4,31.6,-15.2,-0.8
Brighton,19,4,7,8,19,27,-8,19,1,20.3,28.5,-8.2,-0.43
West Ham,19,4,5,10,19,29,-10,17,0.89,22.5,31.9,-9.4,-0.49
Aston Villa,19,2,5,12,19,37,-18,11,0.58,18.5,34.5,-16,-0.84
Leeds Utd,19,4,1,14,13,33,-17,13,0.68,20.4,32.3,-11.9,-0.63
Fulham,19,2,4,13,13,33,-23,10,0.53,18.5,29.9,-11.4,-0.6
West Brom,19,1,3,15,13,33,-31,6,0.32,17.7,30.2,-12.6,-0.66
