Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
Everton,3,2,0,1,3,3,0,6,2,3.8,2.1,1.7,0.57
Liverpool,3,1,1,1,6,9,-3,4,1.33,6.6,6.2,0.3,0.11
Aston Villa,2,2,0,0,4,0,4,6,3,2.3,1.3,1,0.51
Leicester City,3,3,0,0,9,2,7,9,3,5.9,2.3,3.6,1.21
Tottenham,3,3,0,0,12,3,9,9,3,7,3,3.9,1.31
Leeds United,3,2,0,1,7,4,3,6,2,5.5,6.1,-0.6,-0.21
Southampton,3,1,1,1,4,4,0,4,1.33,3.6,3.2,0.5,0.15
Crystal Palace,3,2,0,1,5,6,-1,6,2,4.3,4.8,-0.5,-0.16
Wolves,3,2,0,1,3,4,-1,6,2,2.2,3.8,-1.6,-0.53
Chelsea,3,1,2,0,6,4,2,5,1.67,3.5,3.1,0.4,0.13
Arsenal,3,1,0,2,4,4,0,3,1,3.9,4.6,-0.7,-0.25
West Ham,3,1,1,1,7,5,2,4,1.33,5.6,3,2.6,0.87
Manchester City,3,1,2,0,5,3,2,5,1.67,4.5,3.2,1.3,0.44
Newcastle Utd,3,1,2,0,4,2,2,5,1.67,2.7,4.1,-1.5,-0.49
Manchester Utd,2,2,0,0,7,3,4,6,3,3.8,2.9,0.8,0.42
Brighton,3,1,1,1,6,5,1,4,1.33,4,3.1,0.9,0.3
West Brom,3,0,1,2,3,8,-5,1,0.33,1,5.3,-4.2,-1.41
Burnley,3,0,1,2,3,7,-4,1,0.33,3.6,4.3,-0.8,-0.26
Sheffield Utd,3,0,0,3,2,5,-3,0,0,2.5,3.8,-1.4,-0.45
Fulham,3,0,1,2,4,6,-2,1,0.33,4.4,4.3,0.1,0.02
