Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
Everton,2,2,0,0,3,1,2,6,3,3.5,1.4,2.1,1.04
Aston Villa,2,2,0,0,4,0,4,6,3,2.3,1.3,1,0.51
Liverpool,3,1,1,1,6,9,-3,4,1.33,6.6,6.2,0.3,0.11
Leicester City,2,2,0,0,8,2,6,6,3,4.8,1.4,3.4,1.69
Arsenal,3,1,0,2,4,4,0,3,1,3.9,4.6,-0.7,-0.25
Wolves,3,2,0,1,3,4,-1,6,2,2.2,3.8,-1.6,-0.52
Tottenham,2,2,0,0,11,3,8,6,3,6.3,2.5,3.9,1.93
Chelsea,2,1,1,0,6,4,2,4,2,3.4,2.4,1,0.49
West Ham,3,1,1,1,7,5,2,4,1.33,5.6,3,2.6,0.87
Leeds United,2,1,0,1,4,4,0,3,1.5,2.1,4.9,-2.8,-1.38
Manchester City,2,1,1,0,4,2,2,4,2,3.4,2.7,0.8,0.39
Southampton,3,1,1,1,4,4,0,4,1.33,3.6,3.2,0.5,0.15
Newcastle Utd,2,1,1,0,3,1,2,4,2,2.5,3.4,-0.9,-0.47
Crystal Palace,2,1,0,1,3,5,-2,3,1.5,1.7,3.6,-1.9,-0.97
Manchester Utd,2,2,0,0,7,3,4,6,3,3.8,2.9,0.8,0.42
Brighton,3,1,1,1,6,5,1,4,1.33,4.3,3.1,1.2,0.4
West Brom,2,0,0,2,2,7,-5,0,0,0.4,4.6,-4.2,-2.08
Burnley,3,0,1,2,3,7,-4,1,0.33,3.6,4.3,-0.8,-0.26
Sheffield Utd,2,0,0,2,1,3,-2,0,0,1,1.4,-0.3,-0.17
Fulham,3,0,1,2,4,6,-2,1,0.33,4.4,4.3,0.1,0.02
