Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
Liverpool,19,18,1,0,52,16,36,55,2.89,40.3,18.4,21.9,1.15
Manchester City,19,15,2,2,57,13,44,47,2.47,47.5,15.2,32.3,1.7
Manchester Utd,19,10,7,2,40,17,23,37,1.95,31,16.4,14.6,0.77
Chelsea,19,11,3,5,30,16,14,36,1.89,37.4,10.7,26.7,1.4
Leicester City,19,11,4,4,35,17,18,37,1.95,30.6,21.8,8.7,0.46
Tottenham,19,12,3,4,36,17,19,39,2.05,24.4,23.3,1.1,0.06
Wolves,19,8,7,4,27,19,8,31,1.63,25.9,16.5,9.3,0.49
Arsenal,19,10,6,3,36,24,12,36,1.89,27.2,30.7,-3.5,-0.19
Sheffield Utd,19,10,3,6,24,15,9,33,1.74,26.2,19.7,6.5,0.34
Burnley,19,8,4,7,24,23,1,28,1.47,27.2,21.2,6,0.32
Southampton,19,6,3,10,21,35,-14,21,1.11,23.2,28.1,-5,-0.26
Everton,19,8,7,4,24,21,3,31,1.63,27.4,23.4,4,0.21
Newcastle Utd,19,6,8,5,20,21,-1,26,1.37,18.1,28,-9.9,-0.52
Crystal Palace,19,6,5,8,15,20,-5,23,1.21,17.6,19.7,-2.1,-0.11
Brighton,19,5,7,7,20,27,-7,22,1.16,20.9,26,-5.1,-0.27
West Ham,19,6,4,9,30,33,-3,22,1.16,23.7,29.1,-5.5,-0.29
Aston Villa,19,7,3,9,22,30,-8,24,1.26,21.6,31.3,-9.8,-0.52
Leeds Utd,19,5,6,8,22,27,-8,21,1.11,22.2,25.2,-2.9,-0.15
Fulham,19,6,6,7,22,27,-5,24,1.26,26.7,27.5,-0.8,-0.04
West Brom ,19,4,3,12,22,27,-18,15,0.79,20.4,31.7,-11.3,-0.6
