team,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
Everton,3,2,1,0,11,6,5,7,2.33,6.4,3.7,2.7,0.89
Aston Villa,2,2,0,0,8,2,6,6,3,4.9,2.6,2.3,1.14
Liverpool,2,2,0,0,7,4,3,6,3,6.3,1.8,4.5,2.27
Leicester City,3,1,0,2,4,6,-2,3,1,2.3,4.2,-1.8,-0.61
Arsenal,2,2,0,0,4,2,2,6,3,1.7,2.1,-0.4,-0.18
Wolves,2,1,0,1,2,3,-1,3,1.5,2.2,2.7,-0.5,-0.24
Tottenham,3,0,2,1,4,5,-1,2,0.67,4.4,4.5,-0.1,-0.02
Chelsea,3,1,1,1,7,5,2,4,1.33,5.6,4.9,0.7,0.23
West Ham,2,1,0,1,4,2,2,3,1.5,2.7,2,0.7,0.35
Leeds United,3,1,1,1,5,5,0,4,1.33,4.9,3.8,1.1,0.37
Manchester City,2,1,0,1,3,5,-2,3,1.5,2.4,3.5,-1.1,-0.54
Southampton,2,1,0,1,4,5,-1,3,1.5,2.7,2.6,0.1,0.05
Newcastle Utd,3,1,0,2,4,8,-4,3,1,3.1,4.9,-1.8,-0.61
Crystal Palace,3,1,1,1,3,3,0,4,1.33,1.8,4.3,-2.4,-0.81
Manchester Utd,2,0,0,2,2,9,-7,0,0,2,5.4,-3.4,-1.69
Brighton,2,0,0,2,3,6,-3,0,0,3.8,2.2,1.6,0.81
West Brom,3,0,2,1,3,6,-3,2,0.67,2.4,5.5,-3.1,-1.03
Burnley,1,0,0,1,0,1,-1,0,0,0.5,0.6,-0.1,-0.12
Sheffield Utd,3,0,1,2,1,4,-3,1,0.33,3.7,4.6,-0.9,-0.3
Fulham,2,0,0,2,0,6,-6,0,0,0.9,3.4,-2.5,-1.27
