event,team_a,team_h,kickoff_time
,Manchester Utd,Burnley,
,Aston Villa,Manchester City,
1,Arsenal,Fulham,2020-09-12T11:30:00Z
1,Southampton,Crystal Palace,2020-09-12T14:00:00Z
1,Leeds Utd,Liverpool,2020-09-12T16:30:00Z
1,Newcastle utd,West Ham Utd,2020-09-12T19:00:00Z
1,Leicester City,West Brom,2020-09-13T13:00:00Z
1,Everton,Tottenham,2020-09-13T15:30:00Z
1,Wolverhampton,Sheffield Utd,2020-09-14T17:00:00Z
1,Chelsea,Brighton,2020-09-14T19:15:00Z
2,West Brom,Everton,2020-09-19T11:30:00Z
2,Fulham,Leeds Utd,2020-09-19T14:00:00Z
2,Crystal Palace,Manchester Utd,2020-09-19T16:30:00Z
2,West Ham Utd,Arsenal,2020-09-19T19:00:00Z
2,Tottenham,Southampton,2020-09-20T11:00:00Z
2,Brighton,Newcastle utd,2020-09-20T13:00:00Z
2,Liverpool,Chelsea,2020-09-20T15:30:00Z
2,Burnley,Leicester City,2020-09-20T18:00:00Z
2,Sheffield Utd,Aston Villa,2020-09-21T17:00:00Z
2,Manchester City,Wolverhampton,2020-09-21T19:15:00Z
3,Manchester Utd,Brighton,2020-09-26T11:30:00Z
3,Everton,Crystal Palace,2020-09-26T14:00:00Z
3,Chelsea,West Brom,2020-09-26T16:30:00Z
3,Southampton,Burnley,2020-09-26T19:00:00Z
3,Leeds Utd,Sheffield Utd,2020-09-27T11:00:00Z
3,Newcastle utd,Tottenham,2020-09-27T13:00:00Z
3,Leicester City,Manchester City,2020-09-27T15:30:00Z
3,Wolverhampton,West Ham Utd,2020-09-27T18:00:00Z
3,Aston Villa,Fulham,2020-09-28T16:45:00Z
3,Arsenal,Liverpool,2020-09-28T19:00:00Z
4,Crystal Palace,Chelsea,2020-10-03T11:30:00Z
4,Brighton,Everton,2020-10-03T14:00:00Z
4,Manchester City,Leeds Utd,2020-10-03T16:30:00Z
4,Burnley,Newcastle utd,2020-10-03T19:00:00Z
4,West Ham Utd,Leicester City,2020-10-04T11:00:00Z
4,West Brom,Southampton,2020-10-04T11:00:00Z
4,Sheffield Utd,Arsenal,2020-10-04T13:00:00Z
4,Fulham,Wolverhampton,2020-10-04T13:00:00Z
4,Tottenham,Manchester Utd,2020-10-04T15:30:00Z
4,Liverpool,Aston Villa,2020-10-04T18:15:00Z
5,Liverpool,Everton,2020-10-17T11:30:00Z
5,Southampton,Chelsea,2020-10-17T14:00:00Z
5,Arsenal,Manchester City,2020-10-17T16:30:00Z
5,Manchester Utd,Newcastle utd,2020-10-17T19:00:00Z
5,Fulham,Sheffield Utd,2020-10-18T11:00:00Z
5,Brighton,Crystal Palace,2020-10-18T13:00:00Z
5,West Ham Utd,Tottenham,2020-10-18T15:30:00Z
5,Aston Villa,Leicester City,2020-10-18T18:15:00Z
5,Burnley,West Brom,2020-10-19T16:30:00Z
5,Wolverhampton,Leeds Utd,2020-10-19T19:00:00Z
6,Leeds Utd,Aston Villa,2020-10-23T19:00:00Z
6,Manchester City,West Ham Utd,2020-10-24T11:30:00Z
6,Crystal Palace,Fulham,2020-10-24T14:00:00Z
6,Chelsea,Manchester Utd,2020-10-24T16:30:00Z
6,Sheffield Utd,Liverpool,2020-10-24T19:00:00Z
6,Everton,Southampton,2020-10-25T14:00:00Z
6,Newcastle utd,Wolverhampton,2020-10-25T16:30:00Z
6,Leicester City,Arsenal,2020-10-25T19:15:00Z
6,West Brom,Brighton,2020-10-26T17:30:00Z
